partido,jugador,mercado,linea,tipo,cuota,fuente,fecha
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,26.5,Sobre,1.84,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,26.5,Debajo,1.83,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,27.5,Sobre,1.92,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,27.5,Debajo,1.65,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,24.5,Sobre,1.54,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,24.5,Debajo,2.10,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,28.5,Sobre,2.12,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,28.5,Debajo,1.53,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,23.5,Sobre,1.47,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,23.5,Debajo,2.24,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,29.5,Sobre,2.25,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,29.5,Debajo,1.47,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,22.5,Sobre,1.39,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,22.5,Debajo,2.48,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,30.5,Sobre,2.49,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,30.5,Debajo,1.38,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,21.5,Sobre,1.30,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,21.5,Debajo,2.80,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,31.5,Sobre,2.76,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos,31.5,Debajo,1.31,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Rebotes,5.5,Sobre,2.09,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Rebotes,5.5,Debajo,1.63,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Rebotes,6.5,Sobre,2.68,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Rebotes,6.5,Debajo,1.33,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Triples,2.5,Sobre,2.28,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Triples,2.5,Debajo,1.54,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Robos,1.5,Sobre,2.03,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Robos,1.5,Debajo,1.68,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Tapones,0.5,Sobre,1.79,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Tapones,0.5,Debajo,1.88,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,31.5,Sobre,1.80,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,31.5,Debajo,1.88,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,32.5,Sobre,1.89,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,32.5,Debajo,1.68,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,29.5,Sobre,1.53,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,29.5,Debajo,2.13,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,33.5,Sobre,2.04,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,33.5,Debajo,1.58,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,34.5,Sobre,2.12,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Rebotes,34.5,Debajo,1.53,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,35.5,Sobre,1.79,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,35.5,Debajo,1.88,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,36.5,Sobre,1.89,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,36.5,Debajo,1.68,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,33.5,Sobre,1.57,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,33.5,Debajo,2.05,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,37.5,Sobre,2.04,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,37.5,Debajo,1.58,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,38.5,Sobre,2.14,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Puntos+Asistencias,38.5,Debajo,1.52,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias+Rebotes,14.5,Sobre,1.96,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias+Rebotes,14.5,Debajo,1.73,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias+Rebotes,15.5,Sobre,2.17,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias+Rebotes,15.5,Debajo,1.51,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,8.5,Sobre,1.67,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,8.5,Debajo,2.04,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,9.5,Sobre,2.04,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,9.5,Debajo,1.58,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,10.5,Sobre,2.56,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Cade Cunningham,Asistencias,10.5,Debajo,1.36,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,11.5,Sobre,1.72,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,11.5,Debajo,1.97,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,12.5,Sobre,1.92,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,12.5,Debajo,1.65,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,9.5,Sobre,1.39,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,9.5,Debajo,2.47,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,13.5,Sobre,2.07,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,13.5,Debajo,1.56,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,14.5,Sobre,2.41,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,14.5,Debajo,1.41,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,15.5,Sobre,2.82,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Puntos,15.5,Debajo,1.30,dom_alt,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Rebotes,9.5,Sobre,1.78,dom_main,2026-05-21
Winner Of E1 E8 Winner Of E4 E5,Jalen Duren,Rebotes,9.5,Debajo,1.89,dom_main,2026-05-21
